currTime,acc1,acc2,Roll,Pitch,Yaw
0,0,0, nan,0, nan
5,299,326,-1.97,0.29,-0.18
7,299,326,-1.97,0.29,-0.18
7,299,326,-1.97,0.29,-0.18
8,299,326,-1.97,0.29,-0.18
8,299,326,-1.97,0.29,-0.18
9,299,326,-1.97,0.29,-0.18
10,299,326,-1.97,0.29,-0.18
10,299,326,-1.97,0.29,-0.18
11,299,326,-1.97,0.29,-0.18
11,299,326,-1.97,0.29,-0.18
12,299,326,-1.97,0.29,-0.18
12,299,326,-1.97,0.29,-0.18
17,299,326,-1.97,0.29,-0.18
18,299,326,-1.97,0.29,-0.18
18,299,326,-1.97,0.29,-0.18
19,299,326,-1.97,0.29,-0.18
19,299,326,-1.97,0.29,-0.18
20,299,326,-1.97,0.29,-0.18
20,299,326,-1.97,0.29,-0.18
21,299,326,-1.97,0.29,-0.18
22,299,326,-1.97,0.29,-0.18
22,299,326,-1.97,0.29,-0.18
23,299,326,-1.97,0.29,-0.18
23,299,326,-1.97,0.29,-0.18
24,299,326,-1.97,0.29,-0.18
29,299,326,-1.97,0.29,-0.18
29,299,326,-1.97,0.29,-0.18
30,299,326,-1.97,0.29,-0.18
30,299,326,-1.97,0.29,-0.18
31,299,326,-1.97,0.29,-0.18
32,299,326,-1.97,0.29,-0.18
32,299,326,-1.97,0.29,-0.18
33,299,326,-1.97,0.29,-0.18
33,299,326,-1.97,0.29,-0.18
34,299,326,-1.97,0.29,-0.18
34,299,326,-1.97,0.29,-0.18
35,299,326,-1.97,0.29,-0.18
35,299,326,-1.97,0.29,-0.18
36,299,326,-1.97,0.29,-0.18
41,299,326,-1.97,0.29,-0.18
42,299,326,-1.97,0.29,-0.18
42,299,326,-1.97,0.29,-0.18
43,299,326,-1.97,0.29,-0.18
43,299,326,-1.97,0.29,-0.18
44,299,326,-1.97,0.29,-0.18
44,299,326,-1.97,0.29,-0.18
45,299,326,-1.97,0.29,-0.18
45,299,326,-1.97,0.29,-0.18
46,299,326,-1.97,0.29,-0.18
46,299,326,-1.97,0.29,-0.18
47,299,326,-1.97,0.29,-0.18
48,299,326,-1.97,0.29,-0.18
53,299,326,-1.97,0.29,-0.18
53,299,326,-1.97,0.29,-0.18
54,299,326,-1.97,0.29,-0.18
54,299,326,-1.97,0.29,-0.18
55,299,326,-1.97,0.29,-0.18
55,299,326,-1.97,0.29,-0.18
56,299,326,-1.97,0.29,-0.18
56,299,326,-1.97,0.29,-0.18
57,299,326,-1.97,0.29,-0.18
58,299,326,-1.97,0.29,-0.18
58,299,326,-1.97,0.29,-0.18
59,299,326,-1.97,0.29,-0.18
59,299,326,-1.97,0.29,-0.18
64,299,326,-1.97,0.29,-0.18
65,299,326,-1.97,0.29,-0.18
65,299,326,-1.97,0.29,-0.18
66,299,326,-1.97,0.29,-0.18
66,299,326,-1.97,0.29,-0.18
67,299,326,-1.97,0.29,-0.18
67,299,326,-1.97,0.29,-0.18
68,299,326,-1.97,0.29,-0.18
69,299,326,-1.97,0.29,-0.18
69,299,326,-1.97,0.29,-0.18
70,299,326,-1.97,0.29,-0.18
70,299,326,-1.97,0.29,-0.18
71,299,326,-1.97,0.29,-0.18
76,299,326,-1.97,0.29,-0.18
76,299,326,-1.97,0.29,-0.18
77,299,326,-1.97,0.29,-0.18
77,299,326,-1.97,0.29,-0.18
78,299,326,-1.97,0.29,-0.18
79,299,326,-1.97,0.29,-0.18
79,299,326,-1.97,0.29,-0.18
80,299,326,-1.97,0.29,-0.18
80,299,326,-1.97,0.29,-0.18
81,299,326,-1.97,0.29,-0.18
81,299,326,-1.97,0.29,-0.18
82,299,326,-1.97,0.29,-0.18
82,299,326,-1.97,0.29,-0.18
87,299,326,-1.97,0.29,-0.18
88,299,326,-1.97,0.29,-0.18
89,299,326,-1.97,0.29,-0.18
89,299,326,-1.97,0.29,-0.18
90,299,326,-1.97,0.29,-0.18
90,299,326,-1.97,0.29,-0.18
91,299,326,-1.97,0.29,-0.18
91,299,326,-1.97,0.29,-0.18
92,299,326,-1.97,0.29,-0.18
92,299,326,-1.97,0.29,-0.18
93,299,326,-1.97,0.29,-0.18
93,299,326,-1.97,0.29,-0.18
94,299,326,-1.97,0.29,-0.18
99,299,326,-1.97,0.29,-0.18
99,299,326,-1.97,0.29,-0.18
100,299,326,-1.97,0.29,-0.18
101,299,326,-1.97,0.29,-0.18
101,299,326,-1.97,0.29,-0.18
102,299,326,-1.97,0.29,-0.18
102,299,326,-1.97,0.29,-0.18
103,299,326,-1.97,0.29,-0.18
103,299,326,-1.97,0.29,-0.18
104,299,326,-1.97,0.29,-0.18
104,299,326,-1.97,0.29,-0.18
105,299,326,-1.97,0.29,-0.18
105,299,326,-1.97,0.29,-0.18
110,299,326,-1.97,0.29,-0.18
111,299,326,-1.97,0.29,-0.18
112,299,326,-1.97,0.29,-0.18
112,299,326,-1.97,0.29,-0.18
113,299,326,-1.97,0.29,-0.18
113,299,326,-1.97,0.29,-0.18
114,299,326,-1.97,0.29,-0.18
114,299,326,-1.97,0.29,-0.18
115,299,326,-1.97,0.29,-0.18
115,299,326,-1.97,0.29,-0.18
116,299,326,-1.97,0.29,-0.18
116,299,326,-1.97,0.29,-0.18
117,299,326,-1.97,0.29,-0.18
122,299,326,-1.97,0.29,-0.18
123,299,326,-1.97,0.29,-0.18
123,299,326,-1.97,0.29,-0.18
124,299,326,-1.97,0.29,-0.18
124,299,326,-1.97,0.29,-0.18
125,299,326,-1.97,0.29,-0.18
125,299,326,-1.97,0.29,-0.18
126,299,326,-1.97,0.29,-0.18
126,299,326,-1.97,0.29,-0.18
127,299,326,-1.97,0.29,-0.18
127,299,326,-1.97,0.29,-0.18
128,299,326,-1.97,0.29,-0.18
129,299,326,-1.97,0.29,-0.18
134,299,326,-1.97,0.29,-0.18
134,299,326,-1.97,0.29,-0.18
135,299,326,-1.97,0.29,-0.18
135,299,326,-1.97,0.29,-0.18
136,299,326,-1.97,0.29,-0.18
136,299,326,-1.97,0.29,-0.18
137,299,326,-1.97,0.29,-0.18
137,299,326,-1.97,0.29,-0.18
138,299,326,-1.97,0.29,-0.18
139,299,326,-1.97,0.29,-0.18
139,299,326,-1.97,0.29,-0.18
