currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
0.01,0.00,0.00,0,0,0,0,0
0.02,-4.02,0.00,0,0,0,0,0
0.02,-3.96,-0.30,0,0,0,0,0
0.03,-3.54,-0.39,0,0,0,0,0
0.03,-3.66,-0.47,0,0,0,0,0
0.04,-3.54,-0.55,0,0,0,0,0
0.04,-3.11,-0.63,0,0,0,0,0
0.05,-2.68,-0.73,0,0,0,0,0
0.05,-1.77,-0.78,0,0,0,0,0
0.05,-1.83,-0.81,0,0,0,0,0
0.06,-1.34,-0.83,0,0,0,0,0
0.06,-1.46,-0.86,0,0,0,0,0
0.07,-1.46,-0.88,0,0,0,0,0
0.07,-1.34,-0.90,0,0,0,0,0
0.08,-1.46,-0.91,0,0,0,0,0
0.08,-1.46,-0.93,0,0,0,0,0
0.08,-1.34,-0.95,0,0,0,0,0
0.09,-1.04,-0.96,0,0,0,0,0
0.09,-0.43,-0.96,0,0,0,0,0
0.10,0.06,-0.93,0,0,0,0,0
0.10,0.49,-0.87,0,0,0,0,0
0.11,1.04,-0.82,0,0,0,0,0
0.11,0.91,-0.76,0,0,0,0,0
0.12,0.55,-0.70,0,0,0,0,0
0.12,0.43,-0.63,0,0,0,0,0
0.13,0.24,-0.56,0,0,0,0,0
0.13,-0.12,-0.53,0,0,0,0,0
0.13,-0.67,-0.51,0,0,0,0,0
0.14,-0.98,-0.51,0,0,0,0,0
0.14,-1.28,-0.52,0,0,0,0,0
0.15,-2.01,-0.54,0,0,0,0,0
0.15,-2.26,-0.57,0,0,0,0,0
0.16,-2.44,-0.62,0,0,0,0,0
0.16,-2.99,-0.68,0,0,0,0,0
0.16,-3.11,-0.74,0,0,0,0,0
0.17,-3.72,-0.79,0,0,0,0,0
0.18,-3.90,-0.86,0,0,0,0,0
0.18,-4.09,-1.07,0,0,0,0,0
0.18,-4.02,-1.13,0,0,0,0,0
0.19,-4.21,-1.17,0,0,0,0,0
0.19,-4.02,-1.24,0,0,0,0,0
0.20,-4.21,-1.27,0,0,0,0,0
0.20,-4.09,-1.31,0,0,0,0,0
0.21,-4.15,-1.33,0,0,0,0,0
0.21,-4.15,-1.37,0,0,0,0,0
0.21,-4.82,-1.38,0,0,0,0,0
0.22,-5.00,-1.41,0,0,0,0,0
0.22,-5.43,-1.45,0,0,0,0,0
0.23,-5.18,-1.48,0,0,0,0,0
0.23,-5.12,-1.50,0,0,0,0,0
0.24,-4.88,-1.51,0,0,0,0,0
0.24,-4.57,-1.51,0,0,0,0,0
0.24,-4.57,-1.51,0,0,0,0,0
0.25,-4.09,-1.50,0,0,0,0,0
0.26,-3.23,-1.48,0,0,0,0,0
0.26,-2.93,-1.38,0,0,0,0,0
0.26,-3.23,-1.34,0,0,0,0,0
0.27,-3.11,-1.31,0,0,0,0,0
0.27,-3.78,-1.28,0,0,0,0,0
0.28,-3.84,-1.25,0,0,0,0,0
0.28,-3.96,-1.24,0,0,0,0,0
