En Angle,IMU Angle,Diffrence
74.11,64.09,10.02
74.11,64.09,10.02
74.82,65.8,9.02
74.11,67.0395,7.0705
74.11,67.4,6.71
74.11,67.4,6.71
74.11,67.4,6.71
74.11,67.4,6.71
74.11,67.4,6.71
74.11,67.589,6.521
74.11,69.6,4.51
74.11,74.94,-0.83
74.11,74.94,-0.83
74.82,74.94,-0.12
74.11,74.94,-0.83
74.11,74.94,-0.83
74.11,74.745,-0.635
74.11,71.04,3.07
74.82,72.93,1.89
74.11,73.14,0.97
74.11,73.14,0.97
74.11,73.14,0.97
74.11,73.14,0.97
74.11,73.14,0.97
74.11,72.762,1.348
74.82,72.504,2.316
74.11,72.48,1.63
74.82,72.48,2.34
74.11,72.48,1.63
74.11,72.48,1.63
74.82,72.452,2.368
74.11,72.2,1.91
74.11,72.272,1.838
74.82,72.29,2.53
74.82,72.29,2.53
74.11,72.29,1.82
74.11,72.29,1.82
74.82,72.29,2.53
74.82,72.258,2.562
74.11,72.302,1.808
74.11,72.38,1.73
74.82,72.38,2.44
74.82,72.38,2.44
74.82,72.38,2.44
74.82,72.38,2.44
74.82,72.358,2.462
74.82,72.392,2.428
75.52,72.47,3.05
76.23,72.47,3.76
76.94,72.47,4.47
77.64,72.47,5.17
78.35,72.47,5.88
79.05,72.527,6.523
79.76,72.66,7.1
80.47,72.3625,8.1075
81.17,72.31,8.86
82.58,72.31,10.27
83.29,72.31,10.98
83.29,72.31,10.98
83.29,72.31,10.98
83.29,75.18,8.11
82.58,65.7095,16.8705
82.58,60.61,21.97
81.88,60.61,21.27
81.88,60.61,21.27
81.88,60.61,21.27
81.88,60.61,21.27
81.88,60.64,21.24
81.17,48.652,32.518
81.88,34,47.88
81.88,34,47.88
81.88,34,47.88
81.17,34,47.17
81.17,34,47.17
81.17,33.73,47.44
81.17,26.098,55.072
81.88,14.65,67.23
81.17,14.65,66.52
81.17,14.65,66.52
81.17,14.65,66.52
81.17,14.65,66.52
81.17,16.861,64.309
81.17,17.262,63.908
81.88,4.59,77.29
81.17,4.59,76.58
81.17,4.59,76.58
81.17,4.59,76.58
81.17,4.59,76.58
81.17,4.448,76.722
81.17,3.88,77.29
81.17,4.384,76.786
81.17,4.72,76.45
81.17,4.72,76.45
81.17,4.72,76.45
81.88,4.72,77.16
81.17,5.188,75.982
81.17,7.06,74.11
81.17,5.908,75.262
